,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,no
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,no
176,0,3,male,,3,1,25.4667,S,Third,man,True,no
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,no
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,no
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,no
180,0,3,female,,8,2,69.55,S,Third,woman,False,no
181,0,2,male,,0,0,15.05,C,Second,man,True,no
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,no
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,yes
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,yes
185,0,1,male,,0,0,50.0,S,First,man,True,no
186,1,3,female,,1,0,15.5,Q,Third,woman,False,yes
187,1,1,male,45.0,0,0,26.55,S,First,man,True,yes
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,no
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,no
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,yes
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,no
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,yes
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,yes
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,yes
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,yes
196,0,3,male,,0,0,7.75,Q,Third,man,True,no
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,no
198,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,no
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,no
201,0,3,male,,8,2,69.55,S,Third,man,True,no
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,no
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,no
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,yes
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,no
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,no
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,yes
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,yes
209,1,1,male,40.0,0,0,31.0,C,First,man,True,yes
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,no
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,yes
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,no
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,no
214,0,3,male,,1,0,7.75,Q,Third,man,True,no
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,yes
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,yes
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,no
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,yes
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,no
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,yes
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,no
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,no
223,0,3,male,,0,0,7.8958,S,Third,man,True,no
224,1,1,male,38.0,1,0,90.0,S,First,man,True,yes
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,no
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,yes
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,no
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,no
229,0,3,female,,3,1,25.4667,S,Third,woman,False,no
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,yes
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,no
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,no
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,yes
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,no
235,0,3,female,,0,0,7.55,S,Third,woman,False,no
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,no
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,yes
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,no
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,no
240,0,3,female,,1,0,14.4542,C,Third,woman,False,no
241,1,3,female,,1,0,15.5,Q,Third,woman,False,yes
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,no
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,no
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,no
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,no
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,no
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,yes
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,yes
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,no
250,0,3,male,,0,0,7.25,S,Third,man,True,no
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,no
252,0,1,male,62.0,0,0,26.55,S,First,man,True,no
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,no
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,no
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,yes
256,1,1,female,,0,0,79.2,C,First,woman,False,yes
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,yes
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,yes
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,yes
260,0,3,male,,0,0,7.75,Q,Third,man,True,no
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,yes
262,0,1,male,52.0,1,1,79.65,S,First,man,True,no
263,0,1,male,40.0,0,0,0.0,S,First,man,True,no
264,0,3,female,,0,0,7.75,Q,Third,woman,False,no
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,no
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,no
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,yes
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,yes
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,yes
270,0,1,male,,0,0,31.0,S,First,man,True,no
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,yes
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,yes
273,0,1,male,37.0,0,1,29.7,C,First,man,True,no
274,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,yes
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,no
277,0,2,male,,0,0,0.0,S,Second,man,True,no
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,no
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,yes
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,no
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,no
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,no
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,yes
284,0,1,male,,0,0,26.0,S,First,man,True,no
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,no
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,yes
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,no
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,yes
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,yes
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,yes
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,yes
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,no
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,no
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,no
295,0,1,male,,0,0,27.7208,C,First,man,True,no
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,no
297,0,1,female,2.0,1,2,151.55,S,First,child,False,no
298,1,1,male,,0,0,30.5,S,First,man,True,yes
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,yes
300,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
301,1,3,male,,2,0,23.25,Q,Third,man,True,yes
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,no
303,1,2,female,,0,0,12.35,Q,Second,woman,False,yes
304,0,3,male,,0,0,8.05,S,Third,man,True,no
305,1,1,male,0.92,1,2,151.55,S,First,child,False,yes
306,1,1,female,,0,0,110.8833,C,First,woman,False,yes
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,yes
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,no
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,yes
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,yes
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,yes
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,no
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,no
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,no
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,yes
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,yes
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,no
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,yes
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,yes
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,no
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,no
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,yes
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,yes
324,0,3,male,,8,2,69.55,S,Third,man,True,no
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,yes
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,no
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,yes
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,yes
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,yes
330,1,3,female,,2,0,23.25,Q,Third,woman,False,yes
331,0,1,male,45.5,0,0,28.5,S,First,man,True,no
332,0,1,male,38.0,0,1,153.4625,S,First,man,True,no
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,no
334,1,1,female,,1,0,133.65,S,First,woman,False,yes
335,0,3,male,,0,0,7.8958,S,Third,man,True,no
336,0,1,male,29.0,1,0,66.6,S,First,man,True,no
337,1,1,female,41.0,0,0,134.5,C,First,woman,False,yes
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,yes
339,0,1,male,45.0,0,0,35.5,S,First,man,True,no
340,1,2,male,2.0,1,1,26.0,S,Second,child,False,yes
341,1,1,female,24.0,3,2,263.0,S,First,woman,False,yes
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,no
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,no
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,no
345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,yes
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,yes
347,1,3,female,,1,0,16.1,S,Third,woman,False,yes
348,1,3,male,3.0,1,1,15.9,S,Third,child,False,yes
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,no
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,no
351,0,1,male,,0,0,35.0,S,First,man,True,no
352,0,3,male,15.0,1,1,7.2292,C,Third,child,False,no
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,no
354,0,3,male,,0,0,7.225,C,Third,man,True,no
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,no
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,yes
357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,no
358,1,3,female,,0,0,7.8792,Q,Third,woman,False,yes
359,1,3,female,,0,0,7.8792,Q,Third,woman,False,yes
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,no
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,no
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,no
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,no
364,0,3,male,,1,0,15.5,Q,Third,man,True,no
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,no
366,1,1,female,60.0,1,0,75.25,C,First,woman,False,yes
367,1,3,female,,0,0,7.2292,C,Third,woman,False,yes
368,1,3,female,,0,0,7.75,Q,Third,woman,False,yes
369,1,1,female,24.0,0,0,69.3,C,First,woman,False,yes
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,yes
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,no
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,no
373,0,1,male,22.0,0,0,135.6333,C,First,man,True,no
374,0,3,female,3.0,3,1,21.075,S,Third,child,False,no
375,1,1,female,,1,0,82.1708,C,First,woman,False,yes
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,yes
377,0,1,male,27.0,0,2,211.5,C,First,man,True,no
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,no
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,no
380,1,1,female,42.0,0,0,227.525,C,First,woman,False,yes
381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,yes
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,no
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,yes
384,0,3,male,,0,0,7.8958,S,Third,man,True,no
385,0,2,male,18.0,0,0,73.5,S,Second,man,True,no
386,0,3,male,1.0,5,2,46.9,S,Third,child,False,no
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,yes
388,0,3,male,,0,0,7.7292,Q,Third,man,True,no
389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,yes
390,1,1,male,36.0,1,2,120.0,S,First,man,True,yes
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,yes
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,no
393,1,1,female,23.0,1,0,113.275,C,First,woman,False,yes
394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,yes
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,no
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,no
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,no
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,no
399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,yes
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,yes
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,no
402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,no
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,no
404,0,3,female,20.0,0,0,8.6625,S,Third,woman,False,no
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,no
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,no
407,1,2,male,3.0,1,1,18.75,S,Second,child,False,yes
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,no
409,0,3,female,,3,1,25.4667,S,Third,woman,False,no
410,0,3,male,,0,0,7.8958,S,Third,man,True,no
411,0,3,male,,0,0,6.8583,Q,Third,man,True,no
412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,yes
413,0,2,male,,0,0,0.0,S,Second,man,True,no
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,yes
415,0,3,female,,0,0,8.05,S,Third,woman,False,no
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,yes
417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,yes
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,no
419,0,3,female,10.0,0,2,24.15,S,Third,child,False,no
420,0,3,male,,0,0,7.8958,C,Third,man,True,no
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,no
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,no
423,0,3,female,28.0,1,1,14.4,S,Third,woman,False,no
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,no
425,0,3,male,,0,0,7.25,S,Third,man,True,no
426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,yes
427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,yes
428,0,3,male,,0,0,7.75,Q,Third,man,True,no
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,yes
430,1,1,male,28.0,0,0,26.55,S,First,man,True,yes
431,1,3,female,,1,0,16.1,S,Third,woman,False,yes
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,yes
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,no
434,0,1,male,50.0,1,0,55.9,S,First,man,True,no
435,1,1,female,14.0,1,2,120.0,S,First,child,False,yes
436,0,3,female,21.0,2,2,34.375,S,Third,woman,False,no
437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,yes
438,0,1,male,64.0,1,4,263.0,S,First,man,True,no
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,no
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,yes
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,no
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,no
443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,yes
